Gene ID,Location,Genome,Strand,Start,End,Length (bp),NR Description,COG ID,COG Type,Gene Name,KO ID,KO Description,Family,Class,ARO Name,ARO Description,Drug_class,Resistance_mechanism
gene0030,Scaffold1,G_bin302,-,23450,23205,246,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0031,Scaffold1,G_bin302,-,24069,23695,375,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0032,Scaffold1,G_bin302,+,24212,24451,240,CsbD family protein,ENOG410Y0CJ,S,-,-,-,-,-,-,-,-,-
gene0033,Scaffold1,G_bin302,+,24575,25258,684,response regulator transcription factor,-,-,-,-,-,-,-,-,-,-,-
gene0034,Scaffold1,G_bin302,+,25240,25635,396,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0035,Scaffold1,G_bin302,-,26044,25673,372,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0036,Scaffold1,G_bin302,+,26152,30606,4455,DEAD/DEAH box helicase,COG1201,L,lhr,K03724,ATP-dependent helicase Lhr and Lhr-like helicase [EC:3.6.4.-],-,-,-,-,-,-
gene0037,Scaffold1,G_bin302,+,30606,31355,750,Fpg/Nei family DNA glycosylase,COG0266,L,nei,K05522,endonuclease VIII [EC:3.2.2.- 4.2.99.18],-,-,-,-,-,-
gene0038,Scaffold1,G_bin302,-,32462,32076,387,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0039,Scaffold1,G_bin302,-,33322,32531,792,pseudouridine synthase,COG0564,J,rluA,K06177,tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase [EC:5.4.99.28 5.4.99.29],-,-,-,-,-,-
gene0040,Scaffold1,G_bin302,-,34201,33500,702,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0041,Scaffold1,G_bin302,+,34896,35687,792,SDR family oxidoreductase,ENOG4111KDY,S,hdhA,K00076,7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159],-,-,-,-,-,-
gene0042,Scaffold1,G_bin302,+,35696,36772,1077,diacylglycerol kinase,COG3804,S,ord,K21672,"2,4-diaminopentanoate dehydrogenase [EC:1.4.1.12 1.4.1.26]",-,-,-,-,-,-
gene0043,Scaffold1,G_bin302,+,36769,38007,1239,Nramp family divalent metal transporter,COG1914,P,mntH,K03322,manganese transport protein,-,-,-,-,-,-
gene0044,Scaffold1,G_bin302,-,38931,38011,921,acyl-ACP desaturase,ENOG410XPNS,I,"FAB2, SSI2, desA1",K03921,acyl-[acyl-carrier-protein] desaturase [EC:1.14.19.2 1.14.19.11 1.14.19.26],-,-,-,-,-,-
gene0045,Scaffold1,G_bin302,-,39477,39049,429,SRPBCC family protein,ENOG4111WC2,S,-,-,-,-,-,-,-,-,-
gene0046,Scaffold1,G_bin302,-,39631,39506,126,PLP-dependent aminotransferase family protein,-,-,K00375,K00375,GntR family transcriptional regulator / MocR family aminotransferase,-,-,-,-,-,-
gene0047,Scaffold1,G_bin302,+,39675,39959,285,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0048,Scaffold1,G_bin302,+,39963,40229,267,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0049,Scaffold1,G_bin302,+,40299,40439,141,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0050,Scaffold1,G_bin302,+,40464,41204,741,SDR family oxidoreductase,COG1028,S,-,-,-,-,-,-,-,-,-
gene0051,Scaffold1,G_bin302,+,41214,41735,522,pyridoxamine 5'-phosphate oxidase family protein,ENOG4111KC2,S,-,-,-,-,-,-,-,-,-
gene0052,Scaffold1,G_bin302,-,43023,41749,1275,acyl-CoA dehydrogenase family protein,COG1960,I,-,-,-,-,-,-,-,-,-
gene0053,Scaffold1,G_bin302,-,43565,43206,360,CrcB family protein,ENOG410ZX4S,S,"crcB, FEX",K06199,fluoride exporter,-,-,-,-,-,-
gene0054,Scaffold1,G_bin302,-,43921,43571,351,DUF190 domain-containing protein,COG1993,S,K09137,K09137,uncharacterized protein,-,-,-,-,-,-
gene0055,Scaffold1,G_bin302,-,44388,43918,471,CrcB family protein,ENOG410ZX65,S,"crcB, FEX",K06199,fluoride exporter,-,-,-,-,-,-
gene0056,Scaffold1,G_bin302,-,44805,44401,405,nuclear transport factor 2 family protein,ENOG4111UDM,S,-,-,-,-,-,-,-,-,-
gene0057,Scaffold1,G_bin302,-,48958,44825,4134,HAD-IC family P-type ATPase,COG0474,P,-,-,-,-,-,-,-,-,-
gene0058,Scaffold1,G_bin302,+,49289,49534,246,winged helix-turn-helix transcriptional regulator,COG0640,K,-,-,-,-,-,-,-,-,-
gene0059,Scaffold1,G_bin302,+,49576,49731,156,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0060,Scaffold1,G_bin302,-,50963,49737,1227,TetR/AcrR family transcriptional regulator,ENOG410Z7T7,K,-,-,-,-,-,-,-,-,-
gene0061,Scaffold1,G_bin302,+,51062,51838,777,enoyl-CoA hydratase,ENOG4111URB,S,-,-,-,-,-,-,-,-,-
gene0062,Scaffold1,G_bin302,+,51835,53355,1521,AMP-binding protein,COG0318,I;Q,K00666,K00666,fatty-acyl-CoA synthase [EC:6.2.1.-],-,-,-,-,-,-
gene0063,Scaffold1,G_bin302,+,53364,54593,1230,acyl-CoA dehydrogenase family protein,ENOG410XNVZ,I,-,-,-,-,-,-,-,-,-
gene0064,Scaffold1,G_bin302,+,54594,55742,1149,acyl-CoA dehydrogenase family protein,ENOG410XRQX,I,-,-,-,-,-,-,-,-,-
gene0065,Scaffold1,G_bin302,-,57305,55794,1512,SDR family oxidoreductase,COG0702,G;M,-,-,-,-,-,-,-,-,-
gene0066,Scaffold1,G_bin302,+,57514,58863,1350,TIGR01777 family protein,COG1090,S,K07071,K07071,uncharacterized protein,-,-,-,-,-,-
gene0067,Scaffold1,G_bin302,-,59255,58872,384,PPOX class F420-dependent oxidoreductase,COG3576,S,-,-,-,-,-,-,-,-,-
gene0068,Scaffold1,G_bin302,-,60959,59280,1680,GMC family oxidoreductase,COG2303,E,choD,K03333,cholesterol oxidase [EC:1.1.3.6],AA,AA3,-,-,-,-
gene0069,Scaffold1,G_bin302,-,61270,60956,315,hypothetical protein,ENOG410ZYHW,S,-,-,-,-,-,-,-,-,-
gene0070,Scaffold1,G_bin302,+,61450,62013,564,ester cyclase,ENOG4111G4I,S,-,-,-,-,-,-,-,-,-
gene0071,Scaffold1,G_bin302,-,64265,62373,1893,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0072,Scaffold2,G_bin302,+,106,1206,1101,hypothetical protein,COG0455,D,-,-,-,-,-,-,-,-,-
gene0073,Scaffold2,G_bin302,-,1649,1194,456,MaoC family dehydratase,COG2030,I,-,-,-,-,-,-,-,-,-
gene0074,Scaffold2,G_bin302,-,2869,1667,1203,CoA transferase,COG1804,C,mct,K14470,2-methylfumaryl-CoA isomerase [EC:5.4.1.3],-,-,-,-,-,-
gene0075,Scaffold2,G_bin302,+,3095,4087,993,esterase family protein,COG0627,S,fbp,K18851,diacylglycerol O-acyltransferase / trehalose O-mycolyltransferase [EC:2.3.1.20 2.3.1.122],CE,CE1,-,-,-,-
gene0076,Scaffold2,G_bin302,-,4848,4168,681,DUF1275 domain-containing protein,COG3619,S,-,-,-,-,-,-,-,-,-
gene0077,Scaffold2,G_bin302,-,5877,4879,999,serine protease,COG0265,O,-,-,-,-,-,-,-,-,-
gene0078,Scaffold2,G_bin302,+,6058,6465,408,TIGR03668 family PPOX class F420-dependent oxidoreductase,ENOG4111TZ8,S,-,-,-,-,-,-,-,-,-
gene0079,Scaffold2,G_bin302,+,6475,7290,816,DUF2470 domain-containing protein,COG0748,P,"hugZ, hutZ",K07226,heme iron utilization protein,-,-,-,-,-,-
gene0080,Scaffold2,G_bin302,+,7392,9485,2094,elongation factor G-like protein EF-G2,COG0480,J,"fusA, GFM, EFG",K02355,elongation factor G,-,-,tet(W/N/W),tet(W/N/W) is a mosaic tetracycline resistance gene and ribosomal protection protein.,tetracycline antibiotic,antibiotic target protection
gene0081,Scaffold2,G_bin302,+,9521,10003,483,hypothetical protein,ENOG4110118,S,-,-,-,-,-,-,-,-,-
gene0082,Scaffold2,G_bin302,+,10066,10797,732,hypothetical protein,COG1376,S,-,-,-,-,-,-,-,-,-
gene0083,Scaffold2,G_bin302,-,11030,10854,177,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0084,Scaffold2,G_bin302,-,14836,11330,3507,carboxylic acid reductase,COG1022,I,fadD9,K12421,fatty acid CoA ligase FadD9,-,-,-,-,-,-
gene0085,Scaffold2,G_bin302,-,17146,14993,2154,acyltransferase family protein,COG1835,I,-,-,-,-,-,-,-,-,-
gene0086,Scaffold2,G_bin302,-,17991,17197,795,rhomboid family intramembrane serine protease,COG0705,S,-,-,-,-,-,-,-,-,-
gene0087,Scaffold2,G_bin302,+,18046,18759,714,methyltransferase domain-containing protein,ENOG410XXS8,S,-,-,-,-,-,-,-,-,-
gene0088,Scaffold2,G_bin302,-,20218,18947,1272,ADP-ribosylglycohydrolase family protein,COG1397,O,-,-,-,-,-,-,-,-,-
gene0089,Scaffold2,G_bin302,-,21117,20458,660,VWA domain-containing protein,ENOG4111H48,S,-,-,-,-,-,-,-,-,-
gene0090,Scaffold2,G_bin302,-,21518,21138,381,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0091,Scaffold2,G_bin302,-,22701,21682,1020,hypothetical protein,ENOG410XSQW,S,-,-,-,-,-,-,-,-,-
gene0092,Scaffold2,G_bin302,-,23526,22744,783,hypothetical protein,ENOG410XTCQ,S,-,-,-,-,-,-,-,-,-
gene0093,Scaffold2,G_bin302,-,24241,23585,657,DUF429 domain-containing protein,COG4923,S,-,-,-,-,-,-,-,-,-
gene0094,Scaffold2,G_bin302,-,27396,24295,3102,DUF3427 domain-containing protein,COG1061,L,-,-,-,-,-,-,-,-,-
gene0095,Scaffold2,G_bin302,-,28886,27912,975,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0096,Scaffold2,G_bin302,+,29375,30067,693,isocitrate lyase/phosphoenolpyruvate mutase family protein,COG2513,G,-,-,-,-,-,-,-,-,-
gene0097,Scaffold2,G_bin302,+,30106,30972,867,SDR family oxidoreductase,ENOG410ZKWT,S,-,-,-,-,-,-,-,-,-
gene0098,Scaffold2,G_bin302,-,32108,30957,1152,O-succinylhomoserine sulfhydrylase,COG0626,E,metZ,K10764,O-succinylhomoserine sulfhydrylase [EC:2.5.1.-],-,-,-,-,-,-
gene0099,Scaffold2,G_bin302,-,32578,32174,405,hypothetical protein,COG0607,P,-,-,-,-,-,-,-,-,-
gene0100,Scaffold2,G_bin302,-,33885,32626,1260,formate-dependent phosphoribosylglycinamide formyltransferase,COG0027,F,purT,K08289,phosphoribosylglycinamide formyltransferase 2 [EC:2.1.2.2],-,-,-,-,-,-
gene0101,Scaffold2,G_bin302,+,33965,35563,1599,Na+/H+ antiporter,COG0025,P,TC.CPA1,K03316,"monovalent cation:H+ antiporter, CPA1 family",-,-,-,-,-,-
gene0102,Scaffold2,G_bin302,+,35566,35931,366,DoxX family protein,ENOG410Y353,S,-,-,-,-,-,-,-,-,-
gene0103,Scaffold2,G_bin302,-,36616,35978,639,PaaI family thioesterase,ENOG4111Y7M,S,-,-,-,-,-,-,-,-,-
gene0104,Scaffold2,G_bin302,-,37911,36613,1299,adenylosuccinate synthase,COG0104,F,"purA, ADSS",K01939,adenylosuccinate synthase [EC:6.3.4.4],-,-,-,-,-,-
gene0105,Scaffold2,G_bin302,+,37990,38604,615,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0106,Scaffold2,G_bin302,+,38614,39399,786,site-2 protease family protein,COG1994,S,-,-,-,-,-,-,-,-,-
gene0107,Scaffold2,G_bin302,+,39504,40391,888,cation transporter,COG1230,P,"czcD, zitB",K16264,cobalt-zinc-cadmium efflux system protein,-,-,-,-,-,-
gene0108,Scaffold2,G_bin302,-,40823,40398,426,DUF3151 domain-containing protein,ENOG4111W1H,S,-,-,-,-,-,-,-,-,-
gene0109,Scaffold2,G_bin302,+,40923,41804,882,hypothetical protein,ENOG410XX41,S,-,-,-,-,-,-,-,-,-
gene0110,Scaffold2,G_bin302,-,42940,41909,1032,class II fructose-bisphosphate aldolase,COG0191,G,"FBA, fbaA",K01624,"fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",-,-,-,-,-,-
gene0111,Scaffold2,G_bin302,+,43039,43725,687,DedA family protein,COG0586,S,dedA,K03975,membrane-associated protein,-,-,-,-,-,-
gene0112,Scaffold2,G_bin302,-,44752,43703,1050,fructose-bisphosphate aldolase,COG4833,G,-,-,-,GH,GH76,-,-,-,-
gene0113,Scaffold2,G_bin302,-,46030,44876,1155,MFS transporter,COG0477,G,-,-,-,-,-,-,-,-,-
gene0114,Scaffold2,G_bin302,-,46873,46226,648,RNA methyltransferase,COG0566,J,-,-,-,-,-,-,-,-,-
gene0115,Scaffold2,G_bin302,-,47763,46870,894,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0116,Scaffold2,G_bin302,-,48320,47772,549,orotate phosphoribosyltransferase,COG0461,F,pyrE,K00762,orotate phosphoribosyltransferase [EC:2.4.2.10],-,-,-,-,-,-
gene0117,Scaffold2,G_bin302,-,49041,48307,735,SDR family oxidoreductase,COG0300,S,K07124,K07124,uncharacterized protein,-,-,-,-,-,-
gene0118,Scaffold2,G_bin302,-,50006,49119,888,hypothetical protein,ENOG4111RTG,S,-,-,-,-,-,-,-,-,-
gene0119,Scaffold2,G_bin302,-,51289,50093,1197,PecA family PE domain-processing aspartic protease,-,-,-,-,-,-,-,-,-,-,-
gene0120,Scaffold2,G_bin302,-,52644,51436,1209,PecA family PE domain-processing aspartic protease,-,-,-,-,-,-,-,-,-,-,-
gene0121,Scaffold3,G_bin302,-,2381,1497,885,SDR family NAD(P)-dependent oxidoreductase,COG1028,S,-,-,-,-,-,-,-,-,-
gene0122,Scaffold3,G_bin302,-,3507,2374,1134,spirocyclase AveC family protein,-,-,-,-,-,-,-,-,-,-,-
gene0123,Scaffold3,G_bin302,-,4623,3511,1113,ABC transporter substrate-binding protein,ENOG410ZJQC,S,-,-,-,-,-,-,-,-,-
gene0124,Scaffold3,G_bin302,-,5450,4686,765,CbbQ/NirQ/NorQ/GpvN family protein,COG0714,S,norQ,K04748,nitric oxide reductase NorQ protein,-,-,-,-,-,-
gene0125,Scaffold3,G_bin302,-,7168,5507,1662,VWA domain-containing protein,COG4548,P,-,-,-,-,-,-,-,-,-
gene0126,Scaffold3,G_bin302,+,7256,8185,930,SDR family NAD(P)-dependent oxidoreductase,COG1028,S,-,-,-,-,-,-,-,-,-
gene0127,Scaffold3,G_bin302,-,9397,8189,1209,cytochrome P450,COG2124,Q,-,-,-,-,-,-,-,-,-
gene0128,Scaffold3,G_bin302,-,10053,9394,660,TetR/AcrR family transcriptional regulator,ENOG410XUF9,K,-,-,-,-,-,-,-,-,-
gene0129,Scaffold3,G_bin302,+,10253,11113,861,spirocyclase AveC family protein,ENOG410YFE9,S,-,-,-,-,-,-,-,-,-
gene0130,Scaffold3,G_bin302,+,11343,12095,753,ABC transporter,COG0767,Q,"mlaE, linK",K02066,phospholipid/cholesterol/gamma-HCH transport system permease protein,-,-,-,-,-,-
gene0131,Scaffold3,G_bin302,+,12161,12958,798,ABC transporter permease,COG0767,Q,"mlaE, linK",K02066,phospholipid/cholesterol/gamma-HCH transport system permease protein,-,-,-,-,-,-
gene0132,Scaffold3,G_bin302,+,12961,14373,1413,MCE family protein,ENOG410YJCT,S,-,-,-,-,-,-,-,-,-
gene0133,Scaffold3,G_bin302,+,14403,15410,1008,MCE family protein,COG1463,Q,"mlaD, linM",K02067,phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein,-,-,-,-,-,-
gene0134,Scaffold3,G_bin302,+,15418,16500,1083,mammalian cell entry protein,ENOG4111TIX,S,-,-,-,-,-,-,-,-,-
gene0135,Scaffold3,G_bin302,+,16497,17633,1137,MCE family protein,-,-,-,-,-,-,-,-,-,-,-
gene0136,Scaffold3,G_bin302,+,17630,18727,1098,MCE family protein,-,-,-,-,-,-,-,-,-,-,-
gene0137,Scaffold3,G_bin302,+,18724,20010,1287,MCE family protein,ENOG4111KKQ,S,-,-,-,-,-,-,-,-,-
gene0138,Scaffold3,G_bin302,+,20025,20591,567,hypothetical protein,ENOG410XUBB,S,mas,K18481,Mce-associated membrane protein,-,-,-,-,-,-
gene0139,Scaffold3,G_bin302,+,20591,21289,699,DUF3298 domain-containing protein,-,-,-,-,-,-,-,-,-,-,-
gene0140,Scaffold3,G_bin302,+,21365,22651,1287,amidohydrolase,ENOG410Y3UE,S,-,-,-,-,-,-,-,-,-
gene0141,Scaffold3,G_bin302,+,22769,24073,1305,TetR/AcrR family transcriptional regulator,ENOG4111XEH,K,-,-,-,-,-,-,-,-,-
gene0142,Scaffold3,G_bin302,+,24155,25033,879,mycofactocin-coupled SDR family oxidoreductase,ENOG410YC6V,S,-,-,-,-,-,-,-,-,-
gene0143,Scaffold3,G_bin302,-,26106,25036,1071,dihydrodipicolinate reductase,COG3804,S,ord,K21672,"2,4-diaminopentanoate dehydrogenase [EC:1.4.1.12 1.4.1.26]",-,-,-,-,-,-
gene0144,Scaffold3,G_bin302,-,27068,26103,966,LLM class flavin-dependent oxidoreductase,ENOG410YECM,S,-,-,-,-,-,-,-,-,-
gene0145,Scaffold3,G_bin302,+,27210,27812,603,SDR family oxidoreductase,COG0702,G;M,-,-,-,-,-,-,-,-,-
gene0146,Scaffold3,G_bin302,-,29125,27809,1317,DUF1254 domain-containing protein,COG5361,S,-,-,-,-,-,-,-,-,-
gene0147,Scaffold3,G_bin302,-,30783,29248,1536,long-chain fatty acid--CoA ligase,COG0318,I;Q,-,-,-,-,-,-,-,-,-
gene0148,Scaffold3,G_bin302,-,32249,30867,1383,wax ester/triacylglycerol synthase family O-acyltransferase,-,-,"tgs, wax-dgat",K00635,diacylglycerol O-acyltransferase / wax synthase [EC:2.3.1.20 2.3.1.75],-,-,-,-,-,-
gene0149,Scaffold3,G_bin302,-,33628,32246,1383,wax ester/triacylglycerol synthase family O-acyltransferase,-,-,"tgs, wax-dgat",K00635,diacylglycerol O-acyltransferase / wax synthase [EC:2.3.1.20 2.3.1.75],-,-,-,-,-,-
gene0150,Scaffold3,G_bin302,-,34800,33655,1146,alpha/beta hydrolase,COG0657,I,-,-,-,CE,CE10,-,-,-,-
gene0151,Scaffold3,G_bin302,+,34910,35959,1050,AraC family transcriptional regulator,ENOG410XRJG,K,-,-,-,-,-,-,-,-,-
gene0152,Scaffold3,G_bin302,-,36117,35977,141,MULTISPECIES: 50S ribosomal protein L28,COG0227,J,"RP-L28, MRPL28, rpmB",K02902,large subunit ribosomal protein L28,-,-,-,-,-,-
gene0153,Scaffold3,G_bin302,+,36347,37999,1653,DAK2 domain-containing protein,COG1461,S,K07030,K07030,uncharacterized protein,-,-,-,-,-,-
gene0154,Scaffold3,G_bin302,+,38002,40224,2223,ATP-dependent DNA helicase RecG,COG1200,L,recG,K03655,ATP-dependent DNA helicase RecG [EC:3.6.4.12],-,-,-,-,-,-
gene0155,Scaffold3,G_bin302,+,40221,40934,714,HNH endonuclease,ENOG4111J2Q,S,-,-,-,-,-,-,-,-,-
gene0156,Scaffold3,G_bin302,-,41789,40950,840,aldo/keto reductase,COG0656,S,-,-,-,-,-,-,-,-,-
gene0157,Scaffold3,G_bin302,-,42618,41791,828,aldo/keto reductase,COG0656,S,dkgA,K06221,"2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]",-,-,-,-,-,-
gene0158,Scaffold3,G_bin302,+,42716,43750,1035,alpha/beta hydrolase,COG0657,I,aes,K01066,acetyl esterase [EC:3.1.1.-],CE,CE10,-,-,-,-
gene0159,Scaffold3,G_bin302,+,43816,44568,753,DsbA family protein,COG1651,O,-,-,-,-,-,-,-,-,-
gene0160,Scaffold3,G_bin302,+,44565,45176,612,vitamin K epoxide reductase family protein,COG4243,S,-,-,-,-,-,-,-,-,-
gene0161,Scaffold3,G_bin302,+,45187,48570,3384,pyruvate carboxylase,COG1038,C,"PC, pyc",K01958,pyruvate carboxylase [EC:6.4.1.1],-,-,-,-,-,-
gene0162,Scaffold3,G_bin302,+,48612,49133,522,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD,COG0742,L,-,-,-,-,-,-,-,-,-
gene0163,Scaffold3,G_bin302,+,49181,49621,441,pantetheine-phosphate adenylyltransferase,COG0669,H,"E2.7.7.3A, coaD, kdtB",K00954,pantetheine-phosphate adenylyltransferase [EC:2.7.7.3],-,-,-,-,-,-
gene0164,Scaffold4,G_bin302,+,190,912,723,FkbM family methyltransferase,ENOG41125N5,S,-,-,-,-,-,-,-,-,-
gene0165,Scaffold4,G_bin302,-,1567,890,678,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0166,Scaffold4,G_bin302,+,1585,1989,405,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0167,Scaffold4,G_bin302,+,1986,2357,372,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0168,Scaffold4,G_bin302,+,2631,3974,1344,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0169,Scaffold4,G_bin302,-,5518,4013,1506,hypothetical protein,ENOG4111K0J,S,-,-,-,-,-,-,-,-,-
gene0170,Scaffold4,G_bin302,-,7041,5539,1503,"lysine 2,3-aminomutase",COG1509,E,kamA,K01843,"lysine 2,3-aminomutase [EC:5.4.3.2]",-,-,-,-,-,-
gene0171,Scaffold4,G_bin302,-,8426,7038,1389,FAD-dependent oxidoreductase,COG1231,E,"MAO, aofH",K00274,monoamine oxidase [EC:1.4.3.4],-,-,-,-,-,-
gene0172,Scaffold4,G_bin302,-,10263,8641,1623,AMP-binding protein,COG1020,Q,-,-,-,-,-,-,-,-,-
gene0173,Scaffold4,G_bin302,-,11527,10265,1263,beta-ketoacyl-[acyl-carrier-protein] synthase family protein,COG0304,I,"fabF, OXSM, CEM1",K09458,3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179],-,-,-,-,-,-
gene0174,Scaffold4,G_bin302,-,12995,11625,1371,sugar transferase,COG2148,M,-,-,-,-,-,-,-,-,-
gene0175,Scaffold4,G_bin302,-,13565,13281,285,WXG100 family type VII secretion target,-,-,-,-,-,-,-,-,-,-,-
gene0176,Scaffold4,G_bin302,-,13869,13588,282,WXG100 family type VII secretion target,-,-,-,-,-,-,-,-,-,-,-
gene0177,Scaffold4,G_bin302,-,15431,13980,1452,PPE family protein,-,-,-,-,-,-,-,-,-,-,-
gene0178,Scaffold4,G_bin302,-,15636,15451,186,PE family protein,-,-,-,-,-,-,-,-,-,-,-
gene0179,Scaffold4,G_bin302,+,16347,17021,675,TetR/AcrR family transcriptional regulator,ENOG4111WAR,K,-,-,-,-,-,-,-,-,-
gene0180,Scaffold4,G_bin302,+,17843,18343,501,PAS domain S-box protein,ENOG410Z1AZ,T,-,-,-,-,-,-,-,-,-
gene0181,Scaffold4,G_bin302,-,18727,18572,156,-,-,-,-,-,-,-,-,-,-,-,-
gene0182,Scaffold4,G_bin302,+,18753,19223,471,GAF and ANTAR domain-containing protein,ENOG4111HBU,T,-,-,-,-,-,-,-,-,-
